26,0,5,0,7,0,27,1,6,0,10,4
17,3,3,1,22,0,19,0,5,0,11,11
20,0,4,0,17,2,15,0,5,3,-,-
20,0,4,2,13,0,16,0,5,1,9,11
27,0,7,1,18,0,33,0,8,2,14,0
26,1,8,0,20,0,19,0,7,0,16,0
24,1,6,0,14,0,21,0,6,0,10,5
26,1,7,1,23,0,27,0,8,0,12,2
22,0,6,0,18,0,25,0,6,0,14,0
18,1,6,3,30,2,21,1,6,1,11,3
18,2,6,1,25,1,24,0,6,1,13,5
21,0,6,1,23,1,17,0,7,2,17,0
17,0,4,0,7,4,17,1,4,1,12,0
19,4,8,3,20,0,22,0,8,3,14,1
28,2,4,0,21,0,36,0,4,2,13,2
12,0,4,0,26,1,14,1,4,2,11,9
28,0,2,0,20,0,22,0,4,0,13,1
21,1,6,0,19,1,22,0,6,0,16,0
20,0,5,0,31,0,23,0,3,0,14,0
24,1,7,3,27,1,24,0,6,0,19,1
22,0,7,0,27,0,19,0,7,0,16,1
18,6,4,1,21,1,12,0,6,0,10,1
8,2,5,1,32,1,21,2,5,1,12,4
16,1,7,2,21,0,22,2,7,1,11,2
24,2,6,0,29,0,21,0,4,0,12,6
24,0,4,2,23,0,19,0,5,1,12,5
23,1,7,1,23,0,20,0,8,1,17,0
14,1,4,1,18,0,14,2,1,1,8,4
17,0,1,0,16,1,15,0,-,-,2,2
18,0,3,0,14,0,24,0,4,0,10,5
15,5,1,0,17,0,12,0,2,0,14,1
4,4,-,-,20,0,18,0,1,1,7,9
9,31,3,4,18,3,18,0,2,5,11,3
27,2,2,4,25,1,25,0,3,6,11,5
23,2,7,0,29,0,21,0,7,0,-,-
8,4,7,0,20,0,18,0,7,0,13,4
17,1,4,2,9,5,8,1,3,1,11,1
29,0,7,4,34,1,34,3,6,5,14,11
23,1,7,0,31,0,25,0,7,1,13,3
17,0,5,1,20,0,18,0,6,1,9,1
24,0,7,0,30,0,28,0,7,1,10,8
11,2,3,0,35,0,27,0,3,3,16,4
10,7,4,0,26,0,26,0,4,0,9,10
27,2,7,0,33,0,33,1,6,0,20,4
23,1,5,0,20,0,13,0,5,0,12,0
22,0,6,1,27,0,16,0,6,1,10,2
10,4,1,1,2,2,1,26,3,0,0,8
5,8,6,0,24,1,16,0,6,0,7,5
9,3,5,0,28,0,17,2,5,1,16,4
9,4,2,0,24,8,6,9,3,0,3,8
23,2,3,0,24,1,28,0,3,0,9,4
9,7,2,6,7,22,30,6,3,7,8,15
8,2,4,2,24,0,16,1,4,2,12,3
11,2,3,5,26,0,15,1,6,12,13,0
20,2,4,1,17,0,17,0,4,0,11,2
18,1,3,0,6,1,12,0,3,0,1,7
4,10,1,3,12,0,8,0,2,0,3,4
13,0,3,0,14,0,10,1,5,0,5,25
24,1,4,0,30,0,23,0,6,1,13,4
3,3,2,5,21,0,12,1,3,4,14,1
15,1,4,0,27,0,32,0,5,0,14,3
3,5,2,1,7,1,14,0,2,2,6,3
4,3,2,1,15,0,12,0,2,1,5,3
18,6,2,1,17,1,25,0,1,1,8,5
16,0,3,1,25,0,21,0,3,0,13,5
10,2,3,3,9,0,14,0,2,1,7,3
11,1,1,1,4,0,24,0,1,0,3,2
4,8,4,0,2,2,7,3,4,0,0,0
2,3,0,0,7,12,0,6,3,0,0,0
9,11,0,1,10,5,20,2,1,1,3,9
2,5,0,1,26,0,21,1,5,10,7,3
16,2,4,4,24,0,16,0,2,6,11,2
14,2,4,1,13,1,23,0,3,0,4,3
16,1,2,0,NA,NA,14,0,2,2,10,1
25,3,7,2,10,0,18,4,6,5,1,0
26,3,6,0,48,2,27,0,3,1,21,1
15,5,5,6,20,0,13,0,6,5,14,1
4,2,4,3,2,18,3,0,2,4,0,6
8,7,5,1,19,0,18,0,7,6,2,3
1,11,3,4,27,1,19,6,2,5,2,7
4,8,5,1,19,1,33,1,5,0,10,5
24,1,3,1,27,0,23,0,3,0,15,0
8,11,4,0,28,1,14,0,3,1,15,3
17,2,0,1,27,1,9,6,2,4,2,8
11,10,2,0,6,14,32,1,2,0,-,-
8,2,4,0,16,0,16,1,4,0,12,0
9,0,4,0,4,0,32,1,4,0,8,0
12,8,3,4,7,4,25,1,4,5,7,2
8,12,3,0,11,4,12,0,0,2,0,0
20,1,3,3,9,16,31,0,3,2,11,5
17,3,6,0,32,0,18,0,5,0,12,1
7,3,4,0,25,1,25,1,4,0,8,7
14,1,6,0,31,0,32,3,5,0,14,2
22,0,6,0,24,0,21,0,6,0,14,0
8,0,6,1,24,2,17,0,6,2,12,0
6,2,5,0,30,0,5,1,5,2,8,4
0,1,0,1,5,5,12,0,0,1,no,no
3,0,5,0,16,1,10,1,5,0,10,0
8,1,1,0,no,no,7,0,1,0,no,no
17,2,4,4,16,3,14,0,1,7,8,10
6,0,2,0,13,0,9,0,3,0,9,0
30,1,7,1,37,0,35,2,8,0,21,2
26,0,7,1,25,0,11,0,8,0,12,0
15,1,6,0,18,1,14,2,5,1,13,2
22,0,8,0,31,0,33,0,8,0,14,4
2,0,4,0,no,no,10,2,2,0,no,no
5,3,4,1,10,2,8,3,3,1,7,8
12,0,2,1,13,0,15,0,2,0,12,0
27,0,4,2,30,0,23,0,5,3,13,4
